category,total_count,timed_count,timed_count_source,public_reading,boundary
animation,242821,238789,interactive_decision_window_summary.json,"Animation is the largest director-event category, which fits a performance-heavy cinematic engine.","Category is inferred from parsed director-event evidence, not an official editor enum."
camera_quake,162999,162134,interactive_decision_window_summary.json,"Camera shake is unusually large, showing camera motion and authored impact cues are part of the same timeline evidence.","Category is inferred from parsed director-event evidence, not an official editor enum."
sound,60537,58957,interactive_decision_window_summary.json,"Sound events are first-class timeline neighbors, not only passive audio assets.","Category is inferred from parsed director-event evidence, not an official editor enum."
fx_event,18307,17888,interactive_decision_window_summary.json,"FX events appear at director scale and can be analyzed with shots, input and dialogue.","Category is inferred from parsed director-event evidence, not an official editor enum."
shot,17156,16332,interactive_decision_window_summary.json,"Shot events are timed director data, not just camera components placed in a level.","Category is inferred from parsed director-event evidence, not an official editor enum."
camera_modifier,14782,13662,interactive_decision_window_summary.json,"Camera modifiers are common enough to treat camera behavior as authored timeline data.","Category is inferred from parsed director-event evidence, not an official editor enum."
watch,13145,12570,interactive_decision_window_summary.json,"Watch events are frequent timeline evidence and should be kept separate from generic uncategorized actions in tools.","Category is inferred from parsed director-event evidence, not an official editor enum."
branch_condition,12516,10157,interactive_decision_window_summary.json,"Branch conditions enter the director clock and can be analyzed beside shots and performance.","Category is inferred from parsed director-event evidence, not an official editor enum."
dialogue,8515,7560,interactive_decision_window_summary.json,"Dialogue events are timed and joinable to delivery-window evidence.","Category is inferred from parsed director-event evidence, not an official editor enum."
haptic,6954,6770,interactive_decision_window_summary.json,"Haptic feedback is present as timeline evidence, not only controller-side code.","Category is inferred from parsed director-event evidence, not an official editor enum."
material,4941,4825,interactive_decision_window_summary.json,"Material events are timed, supporting the material-controller bridge argument.","Category is inferred from parsed director-event evidence, not an official editor enum."
cloth,4786,4578,interactive_decision_window_summary.json,"Cloth events appear as their own director category in the parsed evidence.","Category is inferred from parsed director-event evidence, not an official editor enum."
input_condition,4752,2300,interactive_decision_window_summary.json,"Input conditions are explicit director events and can be studied through response windows.","Category is inferred from parsed director-event evidence, not an official editor enum."
variable,3841,3109,interactive_decision_window_summary.json,"Variable writes/conditions are visible in the director timeline evidence.","Category is inferred from parsed director-event evidence, not an official editor enum."
object_attachment,1993,1937,interactive_decision_window_summary.json,"Attachment events are part of the timed performance/cinematic context.","Category is inferred from parsed director-event evidence, not an official editor enum."
camera_system,1940,1144,interactive_decision_window_summary.json,"Camera system events bridge sequence timing and camera-bank behavior.","Category is inferred from parsed director-event evidence, not an official editor enum."
ui,1786,1414,interactive_decision_window_summary.json,"UI events are timed enough to support prompt-window analysis.","Category is inferred from parsed director-event evidence, not an official editor enum."
time_control,1366,923,interactive_decision_window_summary.json,"Time-control events are part of interactive cinematic logic.","Category is inferred from parsed director-event evidence, not an official editor enum."
misc_action,908,853,interactive_decision_window_summary.json,"Misc actions remain visible but should not be overinterpreted without stronger payload semantics.","Category is inferred from parsed director-event evidence, not an official editor enum."
post_finalize,882,624,interactive_decision_window_summary.json,"Post/finalize events appear in the director timeline and support PostPreset/PostStack discussion.","Category is inferred from parsed director-event evidence, not an official editor enum."
ik_target,325,322,interactive_decision_window_summary.json,"IK target events are small but visible in the timeline evidence.","Category is inferred from parsed director-event evidence, not an official editor enum."
video,57,13,interactive_decision_window_summary.json,"Video events exist but are tiny relative to real-time director events.","Category is inferred from parsed director-event evidence, not an official editor enum."
