metric,value,public_reading,boundary
shot_instances,27870,"Authored shot instances are large enough to treat shot data as a real production system.","Roles are inferred from parsed MOV_SHOT group names and property shapes."
sequence_count,2198,"Shot/lens/light evidence spans 2198 sequences, not a tiny hand-picked subset.","Roles are inferred from parsed MOV_SHOT group names and property shapes."
camera_lens_groups,27953,"Camera/lens groups roughly match shot scale, showing lens data is consistently authored.","Roles are inferred from parsed MOV_SHOT group names and property shapes."
light_groups,109424,"Light groups far outnumber shots, which supports authored per-shot lighting evidence.","Roles are inferred from parsed MOV_SHOT group names and property shapes."
shots_with_lens,24183,"Most shots have lens evidence.","Roles are inferred from parsed MOV_SHOT group names and property shapes."
shots_with_lens_ratio,0.867707,"86.77% of shots have lens evidence.","Roles are inferred from parsed MOV_SHOT group names and property shapes."
shots_with_lights,25803,"Most shots have light group evidence.","Roles are inferred from parsed MOV_SHOT group names and property shapes."
shots_with_lights_ratio,0.925834,"92.58% of shots have light evidence.","Roles are inferred from parsed MOV_SHOT group names and property shapes."
shots_with_key_fill_rim,8442,"Key/fill/rim style evidence exists for a substantial subset of shots.","Roles are inferred from parsed MOV_SHOT group names and property shapes."
shots_with_key_fill_rim_ratio,0.302906,"30.29% of shots have key/fill/rim evidence.","Roles are inferred from parsed MOV_SHOT group names and property shapes."
timed_shot_events,27959,"Timed shot events can be placed on the director clock.","Roles are inferred from parsed MOV_SHOT group names and property shapes."
timed_shot_duration_ms_p50,2200,"Median timed shot duration is 2200 ms, useful for pacing analysis.","Roles are inferred from parsed MOV_SHOT group names and property shapes."
timed_shot_duration_ms_p90,5233.333008,"p90 timed shot duration is about 5233 ms, showing a long tail of slower shots.","Roles are inferred from parsed MOV_SHOT group names and property shapes."
fov_count,25586,"FOV values appear on most lens groups.","Roles are inferred from parsed MOV_SHOT group names and property shapes."
fov_p50,33.599998,"Median FOV is about 33.6 degrees.","Roles are inferred from parsed MOV_SHOT group names and property shapes."
fov_p90,47.599998,"p90 FOV is about 47.6 degrees.","Roles are inferred from parsed MOV_SHOT group names and property shapes."
f_stop_count,25713,"F-stop appears on most lens groups.","Roles are inferred from parsed MOV_SHOT group names and property shapes."
f_stop_p50,4,"Median F-stop is 4.0.","Roles are inferred from parsed MOV_SHOT group names and property shapes."
focus_plane_count,25469,"Focus-plane values appear on most lens groups.","Roles are inferred from parsed MOV_SHOT group names and property shapes."
focus_plane_p50,1.911099,"Median focus-plane value is about 1.91.","Roles are inferred from parsed MOV_SHOT group names and property shapes."
rim_back_light_role_count,30248,"Rim/back light role evidence is frequent.","Role names are inferred from group names, not official light classes."
fill_light_role_count,25799,"Fill light role evidence is frequent.","Role names are inferred from group names, not official light classes."
key_light_role_count,22217,"Key light role evidence is frequent.","Role names are inferred from group names, not official light classes."
