metric,value,public_reading,boundary
camera_bank_resource_count,68,"Camera behavior is stored in a small but explicit set of bank resources.","Does not prove complete runtime camera priority rules."
total_size_bytes,9084500,"Camera banks total about 9.08 MB, enough to be a real authored subsystem.","Does not prove complete runtime camera priority rules."
declared_csb_entry_count_total,6046,"Declared camera-system entries are numerous.","Declared entries are parsed evidence, not official editor schema."
parsed_camera_block_count_total,1862,"1862 camera blocks were parsed.","Parsed blocks are evidence, not full runtime behavior."
matched_declared_csb_entry_count_total,1843,"Most parsed camera blocks align with declared entries.","A small mismatch count remains and is not hidden."
matched_parsed_camera_block_count_total,1843,"1843 parsed blocks matched declared entries.","A small mismatch count remains and is not hidden."
csb_entry_mismatch_count,1,"Only one CSB entry mismatch appears in the aggregate scan.","Mismatch details are not published as raw rows."
parse_error_count,0,"The camera-bank parser completed without parse errors in the aggregate summary.","Parser success does not equal complete semantic recovery."
modifier_features,16070,"Modifier features dominate camera bank data and support the authored-camera-behavior reading.","Modifier equations are not fully recovered."
target_features,14033,"Target features show camera behavior is anchored to authored targets, not only free transforms.","Target semantics are inferred from parsed features."
noise_profiles,1936,"Noise profiles support handheld/shake/style camera behavior evidence.","Noise equations are not fully recovered."
gmk_tags,576,"GMK tags provide scene/object linkage evidence.","Tag semantics are not fully recovered."
camera_action_total,2019,"Sequence-side camera actions link camera banks back to the director timeline.","Does not prove exact runtime arbitration."
camera_action_unique_sequences,1233,"Camera actions appear across 1233 sequences.","Does not prove exact runtime arbitration."
movcamsy_timeline_rows,2019,"MOVCAMSY timeline rows match camera action scale.","Does not prove exact runtime arbitration."
movcamsy_unique_sequences,1233,"MOVCAMSY rows span 1233 sequences.","Does not prove exact runtime arbitration."
