system,evidence_sources,key_metrics,engineering_reading,boundary
Asset index and dependency graph,"bigfile_index_summary.json; bigfile_dep_full_export_summary.json","373748 idx entries; 41 resource types; 1002543 DEP edges","Resources and dependencies can be audited before runtime","Does not prove exact runtime load order"
Sequence director timeline,"sequence_full_summary.json; sequence_director_event_summary.json","5479 sequences; 1117054 timeline chunks; 616474 director events","Cinematic behavior is organized as dense timed data","Does not prove official editor event type names"
Rendering pipeline,"rendering_architecture_dossier_summary.json; render_descriptor_abi_summary.json","81649 SPIR-V modules; 99453 pipeline rows; 42343 shader pairs","Shader, pipeline, descriptor and pass-family evidence can be audited offline","Pass families are candidate classifications"
Shot lens and lighting,"shot_lens_light_summary.json","27870 shots; 109424 light groups; FOV p50 33.6; F-stop p50 4.0","Shot language includes authored lens and lighting data","Does not reconstruct full camera runtime"
Camera system bank,"camera_bank_full_summary.json","68 banks; 1862 parsed blocks; 32617 feature rows","Gameplay and cinematic camera behavior use authored banks and modifiers","Modifier meanings remain inferred from evidence"
Dialogue audio localization,"dialogue_audio_atoms_summary.json","80976 FLOW_DIALOG atoms; 6748 unique bases; 12 audio languages","Dialogue behaves like a performance atom linking audio, localization and animation","No dialogue or localization text is published"
Flowchart and UI,"flowchart_narrative_ui_summary.json","32 flowchart UI resources; 2692 ENG node keys; 26 localization languages","Branch structure has UI and localization QA surface","Does not publish UI binaries or text dumps"
Material controller bridge,"shader_controller_narrative_summary.json","5283 MVSHADER rows; 8909 parameter occurrences; 9 families","Narrative state can bridge sequence, script, material and rendering","Parameter names and runtime update code are not official"
Post finalize stack,"finalize_data_full_summary.json; post_finalize_narrative_summary.json","64 FINALIZE_DATA; 795 viewport fades; 142 finalize actions","Post/presentation presets are resources and timed director events","Does not prove final frame composition order"
Script logic,"script_collection_summary.json; script_lua_summary.json","855 script collections; 18258 scanned chunks; 8644607 instructions","Cooked script resources support logic and state systems","Does not reconstruct full runtime control-flow graph"
Interactive timing windows,"interactive_decision_window_summary.json; dialogue_delivery_window_summary.json; ui_prompt_window_summary.json","17903 timed logic seeds; 7560 timed dialogue seeds; 1414 timed UI seeds","Input, branch, dialogue and UI can be audited in the same director-time context","Co-occurrence evidence only; does not prove causal binding"
Render variant pressure,"render_pipeline_variant_summary.json; render_family_profiles.csv","42343 shader pairs; 38477 reused/state-expanded shader pairs; max fanout 332","Pipeline pressure can be reviewed by shader pair, family and fanout","Candidate family grouping; not official shader cache keys"
Top sequence composition,"sequence_resource_composition_summary.json","40 selected cinematic sequences; 11622 nonexclusive unique refs; 290.55 avg refs per sequence","High-cinematic sequences are multi-system resource bundles, not single-track cutscenes","Nonexclusive aggregate; not complete DEP graph or runtime load order"
